latitude,longitude
14.49275,0
14.49275,-18.31502
14.49275,-36.63004
14.49275,-54.94505
14.49275,-73.26007
14.49275,-91.57509
14.49275,-109.8901
14.49275,-128.2051
14.49275,-146.5201
14.49275,-164.8352
28.98551,0
28.98551,-18.31502
28.98551,-36.63004
28.98551,-54.94505
28.98551,-73.26007
28.98551,-91.57509
28.98551,-109.8901
28.98551,-128.2051
28.98551,-146.5201
28.98551,-164.8352
43.47826,0
43.47826,-18.31502
43.47826,-36.63004
43.47826,-54.94505
43.47826,-73.26007
43.47826,-91.57509
43.47826,-109.8901
43.47826,-128.2051
43.47826,-146.5201
43.47826,-164.8352
57.97102,0
57.97102,-18.31502
57.97102,-36.63004
57.97102,-54.94505
57.97102,-73.26007
57.97102,-91.57509
57.97102,-109.8901
57.97102,-128.2051
57.97102,-146.5201
57.97102,-164.8352
72.46377,0
72.46377,-18.31502
72.46377,-36.63004
72.46377,-54.94505
72.46377,-73.26007
72.46377,-91.57509
72.46377,-109.8901
72.46377,-128.2051
72.46377,-146.5201
72.46377,-164.8352
86.95653,0
86.95653,-18.31502
86.95653,-36.63004
86.95653,-54.94505
86.95653,-73.26007
86.95653,-91.57509
86.95653,-109.8901
86.95653,-128.2051
86.95653,-146.5201
86.95653,-164.8352
